x,Curve1,Curve2,Curve3,Curve4
43.6114,-0.842,-0.5629,0.8131,0.5703
43.6595,-0.8164,-0.5862,0.7771,0.6414
43.9242,-0.6766,-0.7064,0.5117,0.7924
43.9441,-0.6647,-0.7252,0.4907,0.801
43.9805,-0.6419,-0.8003,0.4538,0.8163
44.0106,-0.6223,-0.9,0.4245,0.8285
44.0832,-0.5728,-0.9775,0.3574,0.8562
44.2102,-0.4822,-1.0578,0.2454,0.8984
44.2865,-0.4272,-1.0952,0.1751,0.9191
44.4091,-0.3407,-1.1224,0.0451,0.9425
44.5164,-0.2695,-1.1262,-0.0709,0.9497
44.5362,-0.257,-1.1256,-0.0903,0.9492
44.5436,-0.2524,-1.1253,-0.0974,0.9488
44.6924,-0.1656,-1.0939,-0.2308,0.9202
44.8005,-0.1075,-0.9876,-0.3556,0.8684
44.8488,-0.0824,-0.9682,-0.5313,0.8343
44.8616,-0.0758,-0.965,-0.5579,0.8239
44.8873,-0.0625,-0.9598,-0.5922,0.801
45.0247,0.0098,-0.9466,-0.6896,0.6525
45.0773,0.0392,-0.9442,-0.7183,0.5976
45.2289,0.1335,-0.9383,-0.8003,0.4587
45.3149,0.1943,-0.9294,-0.8605,0.387
45.3915,0.2534,-0.8455,-0.9283,0.3257
45.3993,0.2596,-0.8434,-0.935,0.3197
45.4285,0.2833,-0.8378,-0.9581,0.297
45.448,0.2995,-0.8351,-0.9717,0.282
45.6733,0.5041,-0.8203,-1.0191,0.1132
45.769,0.5811,-0.8163,-1.0013,0.0355
45.7861,0.5829,-0.8155,-0.9967,0.0202
45.7901,0.5831,-0.8153,-0.9956,0.0166
45.9093,0.5873,-0.8078,-0.9549,-0.1125
45.9903,0.6014,-0.7957,-0.9213,-0.2344
46.041,0.6186,-0.7752,-0.8983,-0.329
46.1071,0.6529,-0.7076,-0.8663,-0.4504
46.1339,0.6699,-0.6794,-0.8527,-0.4925
46.3231,0.8048,-0.5203,-0.7452,-0.6974
46.3905,0.8387,-0.474,-0.7006,-0.7505
46.3909,0.8389,-0.4737,-0.7003,-0.7507
46.4171,0.8485,-0.4569,-0.6815,-0.77
46.5776,0.8979,-0.3623,-0.5343,-0.8719
46.6719,0.9322,-0.3067,-0.4068,-0.9194
46.8122,0.9803,-0.199,-0.2293,-0.9715
46.8461,0.9902,-0.1426,-0.1931,-0.9804
46.8687,0.9963,-0.0291,-0.1704,-0.9854
46.8956,1.0031,0.0375,-0.1448,-0.9906
47.0303,1.0267,0.1521,-0.028,-1.0036
47.1222,1.0319,0.2127,0.0517,-1.0015
47.1775,1.0312,0.2524,0.1018,-0.9963
47.2996,1.0201,0.385,0.2196,-0.9735
47.3461,1.0123,0.4602,0.2685,-0.9596
47.4318,0.992,0.5794,0.3741,-0.9208
47.5127,0.9619,0.652,0.5385,-0.8674
47.5149,0.9609,0.6537,0.5409,-0.8658
47.5438,0.9449,0.6741,0.5676,-0.8445
47.582,0.9164,0.6992,0.5951,-0.8159
47.7409,0.7539,0.8074,0.6909,-0.6953
47.7969,0.7121,0.8614,0.7246,-0.6512
